llm,variant,n_cves_processed,elapsed_seconds,mean_total_nodes,median_total_nodes,mean_total_edges,median_total_edges,mean_sec_entities_per_graph,mean_sec_edges_per_graph,node_DOCUMENT_mean,node_PARAGRAPH_mean,node_SENTENCE_mean,node_TOKEN_mean,node_ENTITY_mean,node_PREDICATE_mean,node_ARGUMENT_mean,node_CONCEPT_mean,node_NOUN_PHRASE_mean,node_VERB_PHRASE_mean,node_CLAUSE_mean,node_MENTION_mean,node_TOPIC_mean,edge_DEP_mean,edge_NEXT_TOKEN_mean,edge_NEXT_SENT_mean,edge_NEXT_PARA_mean,edge_COREF_mean,edge_SRL_ARG_mean,edge_AMR_EDGE_mean,edge_RST_RELATION_mean,edge_DISCOURSE_mean,edge_CONTAINS_mean,edge_BELONGS_TO_mean,edge_ENTITY_REL_mean,edge_SIMILARITY_mean,sec_ent_CVE_ID_mean,sec_ent_CWE_ID_mean,sec_ent_SOFTWARE_mean,sec_ent_VERSION_mean,sec_ent_CODE_ELEMENT_mean,sec_ent_ATTACK_VECTOR_mean,sec_ent_IMPACT_mean,sec_ent_VULN_TYPE_mean,sec_ent_SEVERITY_mean,sec_ent_REMEDIATION_mean,sec_edge_AFFECTS_mean,sec_edge_HAS_VERSION_mean,sec_edge_LOCATED_IN_mean,sec_edge_CLASSIFIED_AS_mean,sec_edge_EXPLOITED_BY_mean,sec_edge_CAUSES_mean,sec_edge_MITIGATED_BY_mean,sec_edge_USES_FUNCTION_mean,sec_edge_THREATENS_mean,sec_edge_HAS_SEVERITY_mean
gemma,ALL,9218,680.1,441.119,403,1430.584,1292,14.185,31.38,1.0,3.614,14.901,249.734,27.025,23.396,38.273,0.0,56.212,8.262,9.262,4.439,5.0,234.833,248.734,13.901,2.614,12.583,76.547,0.0,0.902,32.03,397.406,309.055,70.598,0.0,0.726,0.018,2.737,1.839,0.877,2.733,1.584,1.028,1.766,0.877,2.844,7.561,1.418,0.018,2.093,6.581,0.782,0.697,7.995,1.391
gemma,D,9218,154.7,110.348,88,373.904,285,4.884,4.604,1.0,1.0,2.614,57.672,8.746,5.459,10.028,0.0,12.572,2.886,2.075,1.301,4.996,55.057,56.672,1.614,0.0,3.555,20.055,0.0,0.112,8.653,98.02,85.849,39.713,0.0,0.036,0.016,0.987,1.605,0.363,0.691,0.526,0.417,0.036,0.207,0.144,2.73,0.244,0.0,0.042,0.614,0.007,0.014,0.809,0.0
gemma,S_cvss,9218,197.4,140.346,138,412.201,406,2.868,0.208,1.0,1.0,5.352,78.895,6.604,6.803,10.798,0.0,18.931,1.828,3.306,0.828,5.0,73.543,77.895,4.352,0.0,1.895,21.596,0.0,0.312,13.126,127.719,86.915,4.639,0.0,0.0,0.0,0.002,0.0,0.108,1.414,0.139,0.0,1.026,0.179,0.0,0.0,0.0,0.0,0.0,0.206,0.0,0.0,0.002,0.0
gemma,S_git,2381,69.8,186.404,170,573.812,525,5.794,4.637,1.0,1.489,6.089,103.918,9.203,11.123,17.312,0.0,22.105,3.613,3.899,1.653,5.0,97.829,102.918,5.089,0.489,3.914,34.625,0.0,0.54,16.417,166.439,130.304,10.611,0.0,0.472,0.0,1.559,0.218,0.427,0.631,0.762,0.679,0.63,0.416,0.984,0.413,0.478,0.0,0.255,0.855,0.157,0.215,0.958,0.322
gemma,S_smp,9212,1129.8,763.598,148,3374.523,517,21.212,246.815,1.0,1.0,13.387,432.809,64.673,37.674,73.136,0.0,92.102,16.23,17.357,9.231,4.998,419.421,431.809,12.387,0.0,34.357,146.273,0.0,1.108,32.449,680.231,715.557,654.116,0.0,3.394,0.291,6.464,4.27,1.327,1.521,1.973,1.075,0.244,0.653,61.88,89.824,5.78,2.77,16.694,13.57,6.74,14.312,33.846,1.399
gpt,ALL,9218,860.9,595.837,516,2094.53,1826,19.315,57.702,1.0,3.444,11.644,333.652,32.742,33.808,60.904,0.0,74.295,14.359,17.05,7.939,5.0,322.009,332.652,10.644,2.444,16.947,121.807,0.0,2.082,25.575,525.994,556.69,119.986,0.0,0.623,0.017,2.816,2.202,1.908,5.896,2.001,0.784,1.607,1.461,2.529,9.311,2.452,0.011,4.212,16.927,1.048,1.439,18.529,1.244
gpt,D,9218,155.0,110.348,88,373.904,285,4.884,4.604,1.0,1.0,2.614,57.672,8.746,5.459,10.028,0.0,12.572,2.886,2.075,1.301,4.996,55.057,56.672,1.614,0.0,3.555,20.055,0.0,0.112,8.653,98.02,85.849,39.713,0.0,0.036,0.016,0.987,1.605,0.363,0.691,0.526,0.417,0.036,0.207,0.144,2.73,0.244,0.0,0.042,0.614,0.007,0.014,0.809,0.0
gpt,S_cvss,9218,261.1,188.515,178,606.556,572,5.197,0.767,1.0,1.127,3.673,104.802,8.237,9.838,18.158,0.0,23.94,4.51,5.782,2.448,5.0,101.129,103.802,2.673,0.127,3.758,36.315,0.0,0.918,9.513,166.909,166.93,13.714,0.0,0.0,0.0,0.042,0.1,0.476,2.903,0.164,0.0,1.052,0.46,0.0,0.002,0.0,0.0,0.0,0.587,0.0,0.0,0.178,0.0
gpt,S_git,2246,147.8,465.433,450,1514.971,1450,10.133,14.895,1.0,1.0,9.395,263.208,15.468,30.318,54.069,0.0,57.071,10.821,12.281,5.801,5.0,253.813,262.208,8.395,0.0,10.34,108.138,0.0,1.207,25.494,404.563,404.804,21.113,0.0,0.126,0.005,1.994,0.269,2.428,2.756,1.344,0.562,0.045,0.604,0.382,0.715,1.911,0.0,0.42,5.334,0.12,0.43,5.565,0.018
gpt,S_smp,9212,1129.3,763.598,148,3374.523,517,21.212,246.815,1.0,1.0,13.387,432.809,64.673,37.674,73.136,0.0,92.102,16.23,17.357,9.231,4.998,419.421,431.809,12.387,0.0,34.357,146.273,0.0,1.108,32.449,680.231,715.557,654.116,0.0,3.394,0.291,6.464,4.27,1.327,1.521,1.973,1.075,0.244,0.653,61.88,89.824,5.78,2.77,16.694,13.57,6.74,14.312,33.846,1.399
