dataset,n_cves,pct_with_any_sec_edge,mean_sec_edges,ent_CVE_ID_mean,ent_CVE_ID_pct,ent_CWE_ID_mean,ent_CWE_ID_pct,ent_SOFTWARE_mean,ent_SOFTWARE_pct,ent_VERSION_mean,ent_VERSION_pct,ent_CODE_ELEMENT_mean,ent_CODE_ELEMENT_pct,ent_ATTACK_VECTOR_mean,ent_ATTACK_VECTOR_pct,ent_IMPACT_mean,ent_IMPACT_pct,ent_VULN_TYPE_mean,ent_VULN_TYPE_pct,ent_SEVERITY_mean,ent_SEVERITY_pct,ent_REMEDIATION_mean,ent_REMEDIATION_pct,sec_AFFECTS_mean,sec_AFFECTS_pct,sec_HAS_VERSION_mean,sec_HAS_VERSION_pct,sec_LOCATED_IN_mean,sec_LOCATED_IN_pct,sec_CLASSIFIED_AS_mean,sec_CLASSIFIED_AS_pct,sec_EXPLOITED_BY_mean,sec_EXPLOITED_BY_pct,sec_CAUSES_mean,sec_CAUSES_pct,sec_MITIGATED_BY_mean,sec_MITIGATED_BY_pct,sec_USES_FUNCTION_mean,sec_USES_FUNCTION_pct,sec_THREATENS_mean,sec_THREATENS_pct,sec_HAS_SEVERITY_mean,sec_HAS_SEVERITY_pct
deepseek_v2_ALL,9218,85.67,27.523,0.833,40.15,0.017,1.65,2.105,68.31,1.794,62.93,0.639,41.07,1.142,61.77,1.398,68.46,0.763,48.76,0.535,35.72,0.33,23.39,11.651,30.42,5.972,44.68,0.832,27.03,0.014,1.03,1.362,26.86,2.962,50.47,0.46,10.71,0.755,19.46,2.792,41.87,0.722,19.26
deepseek_v2_D,9218,61.42,4.604,0.036,1.92,0.016,1.56,0.987,51.37,1.605,61.9,0.363,27.32,0.691,45.66,0.526,43.28,0.417,36.65,0.036,3.51,0.207,15.44,0.144,1.32,2.73,32.61,0.244,15.86,0.0,0.02,0.042,1.06,0.614,26.91,0.007,0.33,0.014,0.41,0.809,21.2,0.0,0.04
deepseek_v2_S_all,9218,84.2,24.367,0.721,38.52,0.017,1.65,1.964,66.96,1.746,62.8,0.569,38.48,1.034,58.62,1.255,64.79,0.654,45.28,0.444,30.79,0.298,21.83,11.074,28.52,5.364,43.46,0.598,23.92,0.014,1.03,1.09,24.65,2.412,46.4,0.333,9.33,0.624,17.27,2.317,38.61,0.541,16.25
deepseek_v2_S_cvss,9218,61.42,4.604,0.036,1.92,0.016,1.56,0.987,51.37,1.605,61.9,0.363,27.32,0.691,45.66,0.526,43.28,0.417,36.65,0.036,3.51,0.207,15.44,0.144,1.32,2.73,32.61,0.244,15.86,0.0,0.02,0.042,1.06,0.614,26.91,0.007,0.33,0.014,0.41,0.809,21.2,0.0,0.04
deepseek_v2_S_git,9218,65.97,6.516,0.148,9.54,0.016,1.56,1.128,54.46,1.653,62.05,0.434,30.53,0.799,49.93,0.67,49.47,0.526,41.15,0.128,11.11,0.239,17.27,0.397,6.75,3.205,35.0,0.413,19.53,0.0,0.02,0.189,6.65,0.984,32.7,0.098,3.58,0.08,3.97,1.09,25.45,0.061,3.15
gemma_v2_ALL,9218,96.14,31.382,0.726,40.64,0.018,1.77,2.737,73.69,1.839,62.99,0.877,50.57,2.733,99.86,1.584,76.31,1.028,55.1,1.766,85.73,0.877,53.28,2.844,31.89,7.561,48.11,1.418,34.2,0.018,1.06,2.093,40.62,6.581,85.78,0.782,24.75,0.697,22.86,7.995,73.63,1.391,35.6
gemma_v2_D,9218,61.42,4.604,0.036,1.92,0.016,1.56,0.987,51.37,1.605,61.9,0.363,27.32,0.691,45.66,0.526,43.28,0.417,36.65,0.036,3.51,0.207,15.44,0.144,1.32,2.73,32.61,0.244,15.86,0.0,0.02,0.042,1.06,0.614,26.91,0.007,0.33,0.014,0.41,0.809,21.2,0.0,0.04
gemma_v2_S_all,9218,88.83,16.32,0.604,40.25,0.018,1.77,2.333,72.4,1.782,62.97,0.659,41.92,1.156,64.29,1.248,68.07,0.852,51.67,0.572,46.56,0.591,39.88,1.828,30.93,6.291,47.24,0.876,28.12,0.018,1.06,0.726,27.46,2.389,54.29,0.441,19.81,0.41,18.49,2.972,46.66,0.367,20.19
gemma_v2_S_cvss,9218,84.7,7.53,0.036,1.92,0.016,1.56,0.988,51.43,1.605,61.9,0.471,34.78,2.104,99.73,0.665,51.54,0.417,36.65,1.065,72.07,0.386,30.0,0.144,1.32,2.733,32.62,0.287,17.85,0.0,0.02,0.098,1.92,2.023,64.63,0.011,0.51,0.017,0.63,2.184,51.33,0.032,1.2
gemma_v2_S_git,9218,67.51,8.042,0.158,8.73,0.016,1.56,1.39,59.94,1.661,61.97,0.474,31.94,0.854,52.51,0.723,51.31,0.593,42.98,0.199,17.85,0.314,21.35,0.559,7.7,3.732,38.91,0.534,21.32,0.0,0.02,0.21,6.31,1.161,35.76,0.131,4.56,0.111,4.52,1.51,31.12,0.093,4.33
