event_id,treated_cve,treated_event_date,control_cve,control_future_event_date,candidate_rank_static,static_distance
188,CVE-2021-41379,2021-11-23,CVE-2021-39659,2022-01-10,1,0.0
188,CVE-2021-41379,2021-11-23,CVE-2021-30892,2025-01-13,2,0.05
188,CVE-2021-41379,2021-11-23,CVE-2021-30970,2025-01-13,3,0.05
188,CVE-2021-41379,2021-11-23,CVE-2021-30871,2025-05-19,4,0.05
188,CVE-2021-41379,2021-11-23,CVE-2021-30769,2025-05-20,5,0.05
188,CVE-2021-41379,2021-11-23,CVE-2021-38314,2025-05-27,6,0.20000000000000018
188,CVE-2021-41379,2021-11-23,CVE-2021-20023,2025-05-13,7,0.6499999999999997
188,CVE-2021-41379,2021-11-23,CVE-2021-26414,2023-01-16,8,0.7000000000000002
188,CVE-2021-41379,2021-11-23,CVE-2021-20035,2025-04-17,9,1.05
188,CVE-2021-41379,2021-11-23,CVE-2021-31207,2025-02-19,10,1.1499999999999997
188,CVE-2021-41379,2021-11-23,CVE-2021-20288,2025-04-09,11,2.0
188,CVE-2021-41379,2021-11-23,CVE-2021-28976,2025-04-11,12,2.0
195,CVE-2021-45046,2021-12-14,CVE-2021-34523,2025-02-19,1,0.05
195,CVE-2021-45046,2021-12-14,CVE-2021-26855,2025-01-06,2,0.14999999999999963
195,CVE-2021-45046,2021-12-14,CVE-2021-34473,2025-02-19,3,0.14999999999999963
195,CVE-2021-45046,2021-12-14,CVE-2021-35587,2025-03-25,4,0.8000000000000007
195,CVE-2021-45046,2021-12-14,CVE-2021-27101,2025-05-28,5,0.8000000000000007
195,CVE-2021-45046,2021-12-14,CVE-2021-24499,2023-06-09,6,0.8500000000000008
195,CVE-2021-45046,2021-12-14,CVE-2021-3838,2024-11-15,7,0.8500000000000008
195,CVE-2021-45046,2021-12-14,CVE-2021-3902,2024-11-15,8,0.8500000000000008
195,CVE-2021-45046,2021-12-14,CVE-2021-26102,2024-12-19,9,0.8500000000000008
195,CVE-2021-45046,2021-12-14,CVE-2021-46686,2025-02-18,10,0.8500000000000008
