stage,date_value,requested,fetched,cached_before,no_data
treated_events,2021-11-23,1,0,11,0
treated_events,2021-11-24,1,0,11,0
treated_events,2021-11-26,1,0,11,0
treated_events,2021-11-30,1,0,4,0
treated_events,2021-12-14,1,0,6,1
treated_events,2021-12-15,1,0,7,0
treated_events,2021-12-17,1,0,7,0
treated_events,2021-12-18,1,0,11,1
treated_events,2021-12-19,1,0,12,1
treated_events,2021-12-20,1,0,5,0
treated_events,2021-12-21,3,0,20,0
treated_events,2021-12-23,2,0,9,0
treated_events,2021-12-25,1,0,4,0
treated_events,2021-12-27,1,0,4,0
treated_events,2022-01-10,2,0,20,2
treated_events,2022-01-11,2,0,20,2
treated_events,2022-01-13,3,0,24,2
treated_events,2022-01-17,3,0,6,0
treated_events,2022-01-19,1,0,4,0
treated_events,2022-02-09,2,0,2,0
treated_events,2022-11-01,2,0,6,2
treated_events,2022-11-02,2,0,8,0
treated_events,2022-11-04,2,0,8,0
treated_events,2022-11-08,2,0,5,0
treated_events,2022-12-01,2,0,5,0
treated_events,2023-01-16,6,0,36,0
treated_events,2023-01-17,6,0,36,0
treated_events,2023-01-19,6,0,36,0
treated_events,2023-01-23,6,0,19,0
treated_events,2023-02-15,6,0,19,0
treated_events,2023-03-03,1,0,13,0
treated_events,2023-03-04,1,0,13,0
treated_events,2023-03-06,1,0,13,0
treated_events,2023-03-10,1,0,4,0
treated_events,2023-03-15,1,0,1,0
treated_events,2023-03-16,1,0,1,0
treated_events,2023-03-18,1,0,1,0
treated_events,2023-03-22,1,0,1,0
treated_events,2023-04-02,1,0,4,0
treated_events,2023-04-14,1,0,1,0
treated_events,2023-05-02,4,0,7,4
treated_events,2023-05-03,4,0,12,4
treated_events,2023-05-05,13,0,51,6
treated_events,2023-05-06,9,0,45,3
treated_events,2023-05-08,9,0,44,3
treated_events,2023-05-09,4,0,10,3
treated_events,2023-05-10,5,0,27,0
treated_events,2023-05-11,5,0,27,0
treated_events,2023-05-12,9,0,18,2
treated_events,2023-05-13,6,0,38,0
treated_events,2023-05-14,3,0,18,0
treated_events,2023-05-15,2,0,6,0
treated_events,2023-05-16,1,0,0,1
treated_events,2023-05-17,8,0,25,1
treated_events,2023-05-18,1,0,3,0
treated_events,2023-05-20,2,0,7,0
treated_events,2023-05-21,2,0,6,0
treated_events,2023-05-23,15,0,39,4
treated_events,2023-05-24,17,0,50,5
treated_events,2023-05-25,4,0,16,1
treated_events,2023-05-26,19,0,51,3
treated_events,2023-05-27,2,0,6,1
treated_events,2023-05-28,3,0,17,0
treated_events,2023-05-29,1,0,2,0
treated_events,2023-05-30,15,0,40,0
treated_events,2023-05-31,8,0,23,4
treated_events,2023-06-01,14,0,11,12
treated_events,2023-06-02,1,0,3,0
treated_events,2023-06-03,7,0,24,3
treated_events,2023-06-04,12,0,20,3
treated_events,2023-06-05,3,0,4,3
treated_events,2023-06-06,1,0,19,0
treated_events,2023-06-07,11,0,18,6
treated_events,2023-06-09,8,0,31,0
treated_events,2023-06-10,2,0,11,0
treated_events,2023-06-11,3,0,1,3
treated_events,2023-06-12,3,0,22,0
treated_events,2023-06-13,5,0,13,0
treated_events,2023-06-14,3,0,14,0
treated_events,2023-06-15,1,0,5,0
treated_events,2023-06-16,5,0,14,0
treated_events,2023-06-17,1,0,2,0
treated_events,2023-06-19,3,0,29,1
treated_events,2023-06-20,9,0,13,8
treated_events,2023-06-21,5,0,0,5
treated_events,2023-06-22,19,0,18,18
treated_events,2023-06-23,8,0,39,1
treated_events,2023-06-24,5,0,23,1
treated_events,2023-06-25,2,0,18,0
treated_events,2023-06-26,9,0,34,2
treated_events,2023-06-27,8,0,1,8
treated_events,2023-06-29,5,0,16,0
treated_events,2023-06-30,9,0,24,0
treated_events,2023-07-03,11,0,36,0
treated_events,2023-07-04,10,0,33,0
treated_events,2023-07-06,10,0,38,0
treated_events,2023-07-07,4,0,21,0
treated_events,2023-07-08,2,0,14,0
treated_events,2023-07-09,4,0,13,0
treated_events,2023-07-10,9,0,31,0
treated_events,2023-07-11,2,0,12,1
treated_events,2023-07-12,3,0,18,0
treated_events,2023-07-13,5,0,17,0
treated_events,2023-07-14,5,0,23,0
treated_events,2023-07-15,4,0,26,0
treated_events,2023-07-16,3,0,22,0
treated_events,2023-07-18,5,0,33,0
treated_events,2023-07-19,7,0,32,0
treated_events,2023-07-20,11,0,37,2
treated_events,2023-07-21,4,0,20,2
treated_events,2023-07-22,7,0,31,0
treated_events,2023-07-23,6,0,18,2
treated_events,2023-07-26,7,0,21,0
treated_events,2023-07-27,4,0,12,2
treated_events,2023-07-28,6,0,25,1
treated_events,2023-07-29,6,0,25,1
treated_events,2023-07-31,9,0,24,2
treated_events,2023-08-01,3,0,9,1
treated_events,2023-08-02,7,0,18,4
treated_events,2023-08-03,3,0,6,3
treated_events,2023-08-04,19,0,11,17
treated_events,2023-08-05,15,0,28,2
treated_events,2023-08-06,2,0,7,0
treated_events,2023-08-07,16,0,0,16
treated_events,2023-08-08,5,0,0,5
treated_events,2023-08-09,5,0,16,0
treated_events,2023-08-10,4,0,20,2
treated_events,2023-08-11,21,0,53,1
treated_events,2023-08-13,2,0,15,0
treated_events,2023-08-14,3,0,14,0
treated_events,2023-08-15,5,0,1,5
treated_events,2023-08-17,2,0,6,0
treated_events,2023-08-18,3,0,23,0
treated_events,2023-08-19,4,0,8,0
treated_events,2023-08-21,5,0,16,5
treated_events,2023-08-22,5,0,16,5
treated_events,2023-08-24,5,0,14,5
treated_events,2023-08-27,6,0,15,0
treated_events,2023-08-28,5,0,7,5
treated_events,2023-08-30,3,0,3,0
treated_events,2023-09-03,13,0,26,0
treated_events,2023-09-04,7,0,44,0
treated_events,2023-09-05,7,0,44,0
treated_events,2023-09-07,12,0,56,0
treated_events,2023-09-08,4,0,25,0
treated_events,2023-09-09,6,0,36,0
treated_events,2023-09-11,11,0,42,0
