event_id,treated_cve,treated_event_date,control_cve,control_future_event_date,candidate_rank_static,static_distance,treated_baseline_epss,treated_baseline_percentile,treated_anchor_offset,control_baseline_epss,control_baseline_percentile,control_anchor_offset,baseline_percentile_distance,match_rank
7,CVE-2013-3900,2024-12-12,CVE-2013-4786,2025-01-21,1,2.3,0.64868,0.98006,0.0,0.36512,0.97305,0.0,0.007010000000000072,1
17,CVE-2016-10099,2025-04-09,CVE-2016-9138,2025-05-12,2,4.800000000000001,0.0133,0.78259,0.0,0.00788,0.71733,0.0,0.06525999999999998,1
17,CVE-2016-10099,2025-04-09,CVE-2016-10243,2025-05-18,1,4.750000000000001,0.0133,0.78259,0.0,0.02875,0.85127,0.0,0.06867999999999996,2
23,CVE-2016-9497,2025-04-11,CVE-2016-10243,2025-05-18,1,1.25,0.06861,0.90533,0.0,0.02875,0.8514,0.0,0.05392999999999992,1
29,CVE-2017-3221,2025-04-11,CVE-2017-7117,2025-05-12,1,1.3,0.02048,0.82379,0.0,0.054,0.89221,0.0,0.06841999999999993,1
29,CVE-2017-3221,2025-04-11,CVE-2017-14227,2025-05-17,3,2.5500000000000007,0.02048,0.82379,0.0,0.00999,0.75093,0.0,0.07286000000000004,2
31,CVE-2017-5715,2025-03-13,CVE-2017-11882,2025-04-18,5,2.5,0.97469,0.99983,0.0,0.97419,0.99972,0.0,0.00010999999999994348,1
31,CVE-2017-5715,2025-03-13,CVE-2017-5754,2025-04-16,1,0.0,0.97469,0.99983,0.0,0.97132,0.99894,0.0,0.0008899999999999464,2
31,CVE-2017-5715,2025-03-13,CVE-2017-0144,2025-04-23,7,3.450000000000001,0.97469,0.99983,0.0,0.96953,0.99848,0.0,0.0013499999999999623,3
32,CVE-2017-5753,2025-03-13,CVE-2017-11882,2025-04-18,5,2.5,0.97542,0.99999,0.0,0.97419,0.99972,0.0,0.00026999999999999247,1
32,CVE-2017-5753,2025-03-13,CVE-2017-5754,2025-04-16,1,0.0,0.97542,0.99999,0.0,0.97132,0.99894,0.0,0.0010499999999999954,2
32,CVE-2017-5753,2025-03-13,CVE-2017-0144,2025-04-23,7,3.450000000000001,0.97542,0.99999,0.0,0.96953,0.99848,0.0,0.0015100000000000113,3
35,CVE-2017-8083,2025-04-10,CVE-2017-13238,2025-05-17,4,2.55,0.00038,0.08386,0.0,0.00025,0.04108,0.0,0.042780000000000006,1
36,CVE-2017-9884,2025-04-26,CVE-2017-5705,2025-05-29,1,0.05,0.00108,0.30358,0.0,0.0011,0.30723,0.0,0.0036499999999999866,1
38,CVE-2018-0171,2025-02-20,CVE-2018-1207,2025-04-16,1,0.05,0.74487,0.98386,0.0,0.03398,0.91461,0.0,0.06924999999999992,1
42,CVE-2018-1000045,2025-04-11,CVE-2018-4413,2025-05-24,3,2.55,0.00578,0.66432,0.0,0.00556,0.6564,0.0,0.007920000000000038,1
42,CVE-2018-1000045,2025-04-11,CVE-2018-4344,2025-05-24,1,0.0,0.00578,0.66432,0.0,0.00515,0.64046,0.0,0.023859999999999992,2
42,CVE-2018-1000045,2025-04-11,CVE-2018-16790,2025-05-17,2,0.2999999999999998,0.00578,0.66432,0.0,0.00508,0.63715,0.0,0.027170000000000027,3
43,CVE-2018-1000046,2025-04-11,CVE-2018-4413,2025-05-24,3,2.55,0.00578,0.66432,0.0,0.00556,0.6564,0.0,0.007920000000000038,1
