event_id,treated_cve,treated_event_date,control_cve,control_future_event_date,candidate_rank_static,static_distance,treated_baseline_epss,treated_baseline_percentile,treated_anchor_offset,control_baseline_epss,control_baseline_percentile,control_anchor_offset,baseline_percentile_distance,match_rank,treated_epss_plus7,treated_percentile_plus7,control_epss_plus7,control_percentile_plus7,treated_percentile_delta_plus7,control_percentile_delta_plus7,att_percentile_delta_plus7,treated_epss_plus30,treated_percentile_plus30,control_epss_plus30,control_percentile_plus30,treated_percentile_delta_plus30,control_percentile_delta_plus30,att_percentile_delta_plus30
7,CVE-2013-3900,2024-12-12,CVE-2013-4786,2025-01-21,1,2.3,0.64868,0.98006,0.0,0.36512,0.97305,0.0,0.007010000000000072,1,0.34716,0.97124,0.36512,0.97184,-0.00882000000000005,-0.0012099999999999334,-0.007610000000000117,0.08167,0.94355,0.36512,0.97207,-0.03651000000000004,-0.0009799999999999809,-0.03553000000000006
17,CVE-2016-10099,2025-04-09,CVE-2016-9138,2025-05-12,2,4.800000000000001,0.0133,0.78259,0.0,0.00788,0.71733,0.0,0.06525999999999998,1,0.0133,0.78816,0.00788,0.72537,0.005569999999999964,0.008039999999999936,-0.0024699999999999722,0.0133,0.78868,0.00788,0.72618,0.00609000000000004,0.008850000000000025,-0.0027599999999999847
17,CVE-2016-10099,2025-04-09,CVE-2016-10243,2025-05-18,1,4.750000000000001,0.0133,0.78259,0.0,0.02875,0.85127,0.0,0.06867999999999996,2,0.0133,0.78816,0.02875,0.85495,0.005569999999999964,0.0036800000000000166,0.0018899999999999473,0.0133,0.78868,0.02875,0.85544,0.00609000000000004,0.004170000000000007,0.0019200000000000328
23,CVE-2016-9497,2025-04-11,CVE-2016-10243,2025-05-18,1,1.25,0.06861,0.90533,0.0,0.02875,0.8514,0.0,0.05392999999999992,1,0.06861,0.90829,0.02875,0.85521,0.0029600000000000737,0.00380999999999998,-0.0008499999999999064,0.06861,0.90841,0.02875,0.85536,0.0030800000000000827,0.0039599999999999635,-0.0008799999999998809
29,CVE-2017-3221,2025-04-11,CVE-2017-7117,2025-05-12,1,1.3,0.02048,0.82379,0.0,0.054,0.89221,0.0,0.06841999999999993,1,0.02048,0.82836,0.054,0.89565,0.004569999999999963,0.0034399999999999986,0.0011299999999999644,0.02048,0.82861,0.05142,0.89293,0.0048199999999999354,0.0007200000000000539,0.0040999999999998815
29,CVE-2017-3221,2025-04-11,CVE-2017-14227,2025-05-17,3,2.5500000000000007,0.02048,0.82379,0.0,0.00999,0.75093,0.0,0.07286000000000004,2,0.02048,0.82836,0.00999,0.75758,0.004569999999999963,0.006650000000000045,-0.002080000000000082,0.02048,0.82861,0.01715,0.81336,0.0048199999999999354,0.062429999999999986,-0.05761000000000005
31,CVE-2017-5715,2025-03-13,CVE-2017-11882,2025-04-18,5,2.5,0.97469,0.99983,0.0,0.97419,0.99972,0.0,0.00010999999999994348,1,0.90097,0.99592,0.94384,0.99965,-0.003909999999999969,-7.00000000000145e-05,-0.0038399999999999546,0.90481,0.99596,0.94384,0.99964,-0.00387000000000004,-8.000000000008001e-05,-0.00378999999999996
31,CVE-2017-5715,2025-03-13,CVE-2017-5754,2025-04-16,1,0.0,0.97469,0.99983,0.0,0.97132,0.99894,0.0,0.0008899999999999464,2,0.90097,0.99592,0.92707,0.99757,-0.003909999999999969,-0.0013700000000000934,-0.0025399999999998757,0.90481,0.99596,0.92671,0.99746,-0.00387000000000004,-0.0014800000000000368,-0.0023900000000000032
31,CVE-2017-5715,2025-03-13,CVE-2017-0144,2025-04-23,7,3.450000000000001,0.97469,0.99983,0.0,0.96953,0.99848,0.0,0.0013499999999999623,3,0.90097,0.99592,0.94423,0.9998,-0.003909999999999969,0.0013199999999999878,-0.005229999999999957,0.90481,0.99596,0.94412,0.99976,-0.00387000000000004,0.0012799999999999478,-0.005149999999999988
32,CVE-2017-5753,2025-03-13,CVE-2017-11882,2025-04-18,5,2.5,0.97542,0.99999,0.0,0.97419,0.99972,0.0,0.00026999999999999247,1,0.94167,0.99908,0.94384,0.99965,-0.0009100000000000774,-7.00000000000145e-05,-0.0008400000000000629,0.9417,0.9991,0.94384,0.99964,-0.0008900000000000574,-8.000000000008001e-05,-0.0008099999999999774
32,CVE-2017-5753,2025-03-13,CVE-2017-5754,2025-04-16,1,0.0,0.97542,0.99999,0.0,0.97132,0.99894,0.0,0.0010499999999999954,2,0.94167,0.99908,0.92707,0.99757,-0.0009100000000000774,-0.0013700000000000934,0.00046000000000001595,0.9417,0.9991,0.92671,0.99746,-0.0008900000000000574,-0.0014800000000000368,0.0005899999999999794
32,CVE-2017-5753,2025-03-13,CVE-2017-0144,2025-04-23,7,3.450000000000001,0.97542,0.99999,0.0,0.96953,0.99848,0.0,0.0015100000000000113,3,0.94167,0.99908,0.94423,0.9998,-0.0009100000000000774,0.0013199999999999878,-0.0022300000000000653,0.9417,0.9991,0.94412,0.99976,-0.0008900000000000574,0.0012799999999999478,-0.0021700000000000053
35,CVE-2017-8083,2025-04-10,CVE-2017-13238,2025-05-17,4,2.55,0.00038,0.08386,0.0,0.00025,0.04108,0.0,0.042780000000000006,1,0.00038,0.10679,0.00025,0.05284,0.022929999999999992,0.01176,0.011169999999999992,0.00038,0.10651,0.00025,0.05294,0.02264999999999999,0.011860000000000002,0.010789999999999987
36,CVE-2017-9884,2025-04-26,CVE-2017-5705,2025-05-29,1,0.05,0.00108,0.30358,0.0,0.0011,0.30723,0.0,0.0036499999999999866,1,0.00108,0.30515,0.0011,0.3087,0.0015699999999999603,0.0014699999999999713,9.999999999998899e-05,0.00108,0.30216,0.00141,0.3539,-0.0014200000000000323,0.04666999999999999,-0.04809000000000002
38,CVE-2018-0171,2025-02-20,CVE-2018-1207,2025-04-16,1,0.05,0.74487,0.98386,0.0,0.03398,0.91461,0.0,0.06924999999999992,1,0.74487,0.98396,0.03131,0.91127,9.999999999998899e-05,-0.0033400000000000096,0.0034399999999999986,0.85271,0.99351,0.93129,0.99795,0.009650000000000047,0.08333999999999997,-0.07368999999999992
42,CVE-2018-1000045,2025-04-11,CVE-2018-4413,2025-05-24,3,2.55,0.00578,0.66432,0.0,0.00556,0.6564,0.0,0.007920000000000038,1,0.00578,0.67591,0.00556,0.6686,0.01158999999999999,0.012199999999999989,-0.0006099999999999994,0.00578,0.67631,0.00556,0.66903,0.011989999999999945,0.01263000000000003,-0.0006400000000000849
42,CVE-2018-1000045,2025-04-11,CVE-2018-4344,2025-05-24,1,0.0,0.00578,0.66432,0.0,0.00515,0.64046,0.0,0.023859999999999992,2,0.00578,0.67591,0.00515,0.6535,0.01158999999999999,0.01303999999999994,-0.0014499999999999513,0.00578,0.67631,0.00515,0.65426,0.011989999999999945,0.013799999999999923,-0.0018099999999999783
42,CVE-2018-1000045,2025-04-11,CVE-2018-16790,2025-05-17,2,0.2999999999999998,0.00578,0.66432,0.0,0.00508,0.63715,0.0,0.027170000000000027,3,0.00578,0.67591,0.00508,0.65055,0.01158999999999999,0.013399999999999967,-0.0018099999999999783,0.00578,0.67631,0.00672,0.70163,0.011989999999999945,0.06447999999999998,-0.05249000000000004
