relative_day,events_with_score,mean_epss,median_epss,p25_epss,p75_epss,mean_percentile,median_percentile
-30,788,0.16375667512690353,0.002,0.00052,0.0406575,0.5265142131979695,0.508305
-14,837,0.17506912783751494,0.00279,0.00055,0.0521,0.5370631302270011,0.52576
-7,935,0.15685810695187166,0.00192,0.00046,0.030835,0.5027096554042781,0.45049
-1,1229,0.1262273311635476,0.00089,0.00043,0.01171,0.4230191996289666,0.27513
0,2310,0.06921059307359308,0.00047,0.00043,0.00198,0.3090747555943723,0.17062
1,4003,0.041710579565326,0.00045,0.00043,0.00096,0.27678355763902074,0.1465
3,4101,0.04345752743233358,0.00045,0.00043,0.00096,0.27863323356498415,0.14413
7,4108,0.046214004381694256,0.00049,0.00043,0.00123,0.29749773093768256,0.17463
14,4134,0.049309934687953555,0.0005,0.00043,0.00133,0.304985990198597,0.17779
30,4154,0.052275127587867114,0.00052,0.00043,0.00151,0.3168778652975445,0.18382
