feature_a,feature_b,cramers_v
source,epss_status,0.527
confidentiality_impact,integrity_impact,0.488
integrity_impact,availability_impact,0.444
integrity_impact,cvss_severity,0.424
confidentiality_impact,cvss_severity,0.415
availability_impact,cvss_severity,0.406
user_interaction,cvss_severity,0.34
source,sources_available,0.325
privileges_required,cvss_severity,0.303
confidentiality_impact,availability_impact,0.28
scope,availability_impact,0.233
attack_vector,cvss_severity,0.227
attack_complexity,cvss_severity,0.22
sources_available,github_links_with_code_available,0.19
user_interaction,availability_impact,0.189
attack_vector,privileges_required,0.186
epss_status,sources_available,0.186
privileges_required,user_interaction,0.18
privileges_required,scope,0.18
source,cvss_severity,0.18
scope,cvss_severity,0.18
source,attack_vector,0.17
source,integrity_impact,0.169
source,confidentiality_impact,0.166
scope,integrity_impact,0.162
epss_status,cvss_severity,0.161
source,availability_impact,0.16
epss_status,scope,0.151
source,github_links_with_code_available,0.139
user_interaction,integrity_impact,0.138
attack_vector,github_links_with_code_available,0.132
scope,confidentiality_impact,0.128
source,attack_complexity,0.125
epss_status,availability_impact,0.122
availability_impact,github_links_with_code_available,0.118
user_interaction,confidentiality_impact,0.107
attack_vector,availability_impact,0.105
integrity_impact,github_links_with_code_available,0.104
epss_status,github_links_with_code_available,0.102
attack_complexity,scope,0.101
attack_vector,user_interaction,0.101
cvss_severity,github_links_with_code_available,0.1
source,scope,0.094
epss_status,attack_vector,0.088
epss_status,confidentiality_impact,0.085
attack_vector,integrity_impact,0.077
source,privileges_required,0.076
epss_status,privileges_required,0.076
attack_vector,scope,0.075
attack_vector,confidentiality_impact,0.073
source,user_interaction,0.073
cvss_version,attack_vector,0.072
availability_impact,sources_available,0.072
confidentiality_impact,github_links_with_code_available,0.067
epss_status,integrity_impact,0.065
privileges_required,integrity_impact,0.063
attack_complexity,privileges_required,0.063
attack_complexity,github_links_with_code_available,0.061
attack_vector,attack_complexity,0.061
source,cvss_version,0.06
cvss_severity,sources_available,0.06
epss_status,cvss_version,0.06
privileges_required,github_links_with_code_available,0.049
attack_vector,sources_available,0.047
integrity_impact,sources_available,0.042
user_interaction,scope,0.042
attack_complexity,integrity_impact,0.039
scope,sources_available,0.038
confidentiality_impact,sources_available,0.037
privileges_required,availability_impact,0.037
cvss_version,availability_impact,0.036
user_interaction,github_links_with_code_available,0.033
cvss_version,cvss_severity,0.032
attack_complexity,confidentiality_impact,0.03
scope,github_links_with_code_available,0.029
cvss_version,privileges_required,0.026
epss_status,attack_complexity,0.024
attack_complexity,availability_impact,0.023
attack_complexity,user_interaction,0.023
privileges_required,confidentiality_impact,0.021
cvss_version,confidentiality_impact,0.02
cvss_version,sources_available,0.02
cvss_version,scope,0.019
attack_complexity,sources_available,0.018
cvss_version,integrity_impact,0.015
cvss_version,attack_complexity,0.013
privileges_required,sources_available,0.012
cvss_version,user_interaction,0.01
epss_status,user_interaction,0.005
user_interaction,sources_available,0.003
cvss_version,github_links_with_code_available,0.002
