model,column,dtype,missing,missing_pct,non_null,distinct_non_null
gemma,cve,object,0,0.0,9218,9218
gemma,source,object,0,0.0,9218,6
gemma,date_posted,object,0,0.0,9218,314
gemma,time_posted,object,0,0.0,9218,550
gemma,social_media_post,object,5,0.05,9213,6415
gemma,epss_score,float64,0,0.0,9218,1496
gemma,epss_status,object,0,0.0,9218,2
gemma,description,object,0,0.0,9218,5386
gemma,cvss_version,float64,0,0.0,9218,2
gemma,cvss_score,float64,0,0.0,9218,78
gemma,attack_vector,object,0,0.0,9218,4
gemma,attack_complexity,object,0,0.0,9218,2
gemma,privileges_required,object,0,0.0,9218,3
gemma,user_interaction,object,0,0.0,9218,2
gemma,scope,object,0,0.0,9218,2
gemma,confidentiality_impact,object,0,0.0,9218,3
gemma,integrity_impact,object,0,0.0,9218,3
gemma,availability_impact,object,0,0.0,9218,3
gemma,occurrence_count,int64,0,0.0,9218,34
gemma,sources_available,bool,0,0.0,9218,2
gemma,github_links_with_code_available,bool,0,0.0,9218,2
gemma,days_since_latest_git_source,float64,7323,79.44,1895,478
gemma,days_since_oldest_git_source,float64,7323,79.44,1895,520
gemma,source_links,object,1582,17.16,7636,4897
gemma,summ_all_sources,object,1582,17.16,7636,7636
gemma,summ_github_urls,object,6837,74.17,2381,2381
gemma,summ_cvss_metrics,object,0,0.0,9218,9152
gemma,github_urls,object,6879,74.63,2339,1657
gpt,cve,object,0,0.0,9218,9218
gpt,source,object,0,0.0,9218,6
gpt,date_posted,object,0,0.0,9218,314
gpt,time_posted,object,0,0.0,9218,550
gpt,social_media_post,object,5,0.05,9213,6415
gpt,epss_score,float64,0,0.0,9218,1496
gpt,epss_status,object,0,0.0,9218,2
gpt,description,object,0,0.0,9218,5386
gpt,cvss_version,float64,0,0.0,9218,2
gpt,cvss_score,float64,0,0.0,9218,78
gpt,attack_vector,object,0,0.0,9218,4
gpt,attack_complexity,object,0,0.0,9218,2
gpt,privileges_required,object,0,0.0,9218,3
gpt,user_interaction,object,0,0.0,9218,2
gpt,scope,object,0,0.0,9218,2
gpt,confidentiality_impact,object,0,0.0,9218,3
gpt,integrity_impact,object,0,0.0,9218,3
gpt,availability_impact,object,0,0.0,9218,3
gpt,occurrence_count,int64,0,0.0,9218,34
gpt,sources_available,bool,0,0.0,9218,2
gpt,github_links_with_code_available,bool,0,0.0,9218,2
gpt,days_since_latest_git_source,float64,7323,79.44,1895,478
gpt,days_since_oldest_git_source,float64,7323,79.44,1895,520
gpt,source_links,object,1582,17.16,7636,4897
gpt,summ_all_sources,object,1612,17.49,7606,7606
gpt,summ_github_urls,object,6972,75.63,2246,1440
gpt,summ_cvss_metrics,object,0,0.0,9218,9218
gpt,github_urls,object,6879,74.63,2339,1657
mistral,cve,object,0,0.0,9218,9218
mistral,source,object,0,0.0,9218,6
mistral,date_posted,object,0,0.0,9218,314
mistral,time_posted,object,0,0.0,9218,550
mistral,social_media_post,object,5,0.05,9213,6415
mistral,epss_score,float64,0,0.0,9218,1496
mistral,epss_status,object,0,0.0,9218,2
mistral,description,object,0,0.0,9218,5386
mistral,cvss_version,float64,0,0.0,9218,2
mistral,cvss_score,float64,0,0.0,9218,78
mistral,attack_vector,object,0,0.0,9218,4
mistral,attack_complexity,object,0,0.0,9218,2
mistral,privileges_required,object,0,0.0,9218,3
mistral,user_interaction,object,0,0.0,9218,2
mistral,scope,object,0,0.0,9218,2
mistral,confidentiality_impact,object,0,0.0,9218,3
mistral,integrity_impact,object,0,0.0,9218,3
mistral,availability_impact,object,0,0.0,9218,3
mistral,occurrence_count,int64,0,0.0,9218,34
mistral,sources_available,bool,0,0.0,9218,2
mistral,github_links_with_code_available,bool,0,0.0,9218,2
mistral,days_since_latest_git_source,float64,7323,79.44,1895,478
mistral,days_since_oldest_git_source,float64,7323,79.44,1895,520
mistral,source_links,object,1582,17.16,7636,4897
mistral,summ_all_sources,object,1901,20.62,7317,7317
mistral,summ_github_urls,object,6830,74.09,2388,2388
mistral,summ_cvss_metrics,object,202,2.19,9016,9016
mistral,github_urls,object,6879,74.63,2339,1657
