feature,non_null,mean,std,min,p25,median,p75,p90,p95,max
epss_score,6628,0.10294289001207,0.2636104805648595,3e-05,0.00043,0.00053,0.00445,0.5558770000000001,0.92223,0.97542
cvss_score,6628,8.337537718768859,1.4702092052573765,1.9,7.8,8.8,9.8,9.8,9.9,10.0
occurrence_count,6628,5.567139408569704,9.163464655753113,1.0,1.0,2.0,5.0,16.0,24.0,51.0
source_link_count,6628,3.154948702474351,6.91723765706874,0.0,1.0,2.0,3.0,7.0,11.0,244.0
github_url_count,6628,0.5076946288473144,1.471042738393925,0.0,0.0,0.0,0.0,2.0,3.0,48.0
sources_available_int,6628,0.832226916113458,0.37369284895838245,0.0,1.0,1.0,1.0,1.0,1.0,1.0
github_links_with_code_available_int,6628,0.15132770066385035,0.3583950433914126,0.0,0.0,0.0,0.0,1.0,1.0,1.0
days_since_latest_git_source,1274,117.53767660910518,444.14793107161336,-1005.0,-1.0,5.0,71.0,363.0,683.0,4533.0
days_since_oldest_git_source,1274,173.26923076923077,492.8976705486075,-1005.0,1.0,19.0,141.0,548.9000000000003,892.0499999999979,4533.0
post_word_count,6628,1930.39649969825,6396.066411102566,5.0,24.0,58.0,506.0,1937.0,24880.0,70953.0
description_word_count,6628,53.29284852142426,43.86247245961055,4.0,27.0,41.0,69.0,100.0,124.0,608.0
