feature,epss_score,cvss_score,occurrence_count,source_link_count,github_url_count,sources_available_int,github_links_with_code_available_int,days_since_latest_git_source,days_since_oldest_git_source,post_word_count,description_word_count
epss_score,1.0,0.149,0.212,0.212,0.097,0.077,0.038,0.195,0.224,0.257,0.094
cvss_score,0.149,1.0,0.003,-0.102,-0.014,-0.071,-0.015,-0.069,-0.06,-0.032,-0.001
occurrence_count,0.212,0.003,1.0,0.214,0.197,0.103,0.17,-0.183,-0.199,0.019,0.114
source_link_count,0.212,-0.102,0.214,1.0,0.524,0.205,0.184,0.12,0.29,0.096,0.189
github_url_count,0.097,-0.014,0.197,0.524,1.0,0.155,0.59,-0.045,0.214,-0.042,0.242
sources_available_int,0.077,-0.071,0.103,0.205,0.155,1.0,0.19,,,0.126,0.068
github_links_with_code_available_int,0.038,-0.015,0.17,0.184,0.59,0.19,1.0,-0.051,0.008,-0.064,0.196
days_since_latest_git_source,0.195,-0.069,-0.183,0.12,-0.045,,-0.051,1.0,0.866,0.228,-0.077
days_since_oldest_git_source,0.224,-0.06,-0.199,0.29,0.214,,0.008,0.866,1.0,0.198,0.053
post_word_count,0.257,-0.032,0.019,0.096,-0.042,0.126,-0.064,0.228,0.198,1.0,-0.019
description_word_count,0.094,-0.001,0.114,0.189,0.242,0.068,0.196,-0.077,0.053,-0.019,1.0
