feature,epss_score,cvss_score,occurrence_count,source_link_count,github_url_count,sources_available_int,github_links_with_code_available_int,days_since_latest_git_source,days_since_oldest_git_source,post_word_count,description_word_count
epss_score,1.0,0.114,0.459,0.3,0.006,0.112,0.005,0.222,0.245,0.398,0.057
cvss_score,0.114,1.0,-0.06,-0.11,0.03,-0.068,0.014,-0.069,-0.006,-0.239,0.05
occurrence_count,0.459,-0.06,1.0,0.368,0.075,0.114,0.044,-0.148,-0.154,0.528,0.088
source_link_count,0.3,-0.11,0.368,1.0,0.352,0.66,0.303,-0.096,0.015,0.313,0.269
github_url_count,0.006,0.03,0.075,0.352,1.0,0.251,0.778,-0.085,0.152,-0.01,0.209
sources_available_int,0.112,-0.068,0.114,0.66,0.251,1.0,0.19,,,0.118,0.072
github_links_with_code_available_int,0.005,0.014,0.044,0.303,0.778,0.19,1.0,-0.011,0.119,-0.017,0.193
days_since_latest_git_source,0.222,-0.069,-0.148,-0.096,-0.085,,-0.011,1.0,0.817,0.212,-0.208
days_since_oldest_git_source,0.245,-0.006,-0.154,0.015,0.152,,0.119,0.817,1.0,0.183,-0.113
post_word_count,0.398,-0.239,0.528,0.313,-0.01,0.118,-0.017,0.212,0.183,1.0,0.055
description_word_count,0.057,0.05,0.088,0.269,0.209,0.072,0.193,-0.208,-0.113,0.055,1.0
