event_id,treated_cve,treated_event_date,control_cve,control_future_event_date,candidate_rank_static,static_distance,treated_baseline_epss,treated_baseline_percentile,treated_anchor_offset,control_baseline_epss,control_baseline_percentile,control_anchor_offset,baseline_percentile_distance,match_rank,treated_epss_plus7,treated_percentile_plus7,control_epss_plus7,control_percentile_plus7,treated_percentile_delta_plus7,control_percentile_delta_plus7,att_percentile_delta_plus7,treated_epss_plus30,treated_percentile_plus30,control_epss_plus30,control_percentile_plus30,treated_percentile_delta_plus30,control_percentile_delta_plus30,att_percentile_delta_plus30
7,CVE-2013-3900,2024-12-12,CVE-2013-4786,2025-01-21,1,2.3,0.64868,0.98006,0.0,0.36512,0.97305,0.0,0.00701,1,0.34716,0.97124,0.36512,0.97184,-0.00882,-0.0012099999999999,-0.0076100000000001,0.08167,0.94355,0.36512,0.97207,-0.03651,-0.0009799999999999,-0.03553
17,CVE-2016-10099,2025-04-09,CVE-2016-9138,2025-05-12,2,4.800000000000001,0.0133,0.78259,0.0,0.00788,0.71733,0.0,0.0652599999999999,1,0.0133,0.78816,0.00788,0.72537,0.0055699999999999,0.0080399999999999,-0.0024699999999999,0.0133,0.78868,0.00788,0.72618,0.00609,0.00885,-0.0027599999999999
17,CVE-2016-10099,2025-04-09,CVE-2016-10243,2025-05-18,1,4.750000000000001,0.0133,0.78259,0.0,0.02875,0.85127,0.0,0.0686799999999999,2,0.0133,0.78816,0.02875,0.85495,0.0055699999999999,0.00368,0.0018899999999999,0.0133,0.78868,0.02875,0.85544,0.00609,0.00417,0.00192
23,CVE-2016-9497,2025-04-11,CVE-2016-10243,2025-05-18,1,1.25,0.06861,0.90533,0.0,0.02875,0.8514,0.0,0.0539299999999999,1,0.06861,0.90829,0.02875,0.85521,0.00296,0.0038099999999999,-0.0008499999999999,0.06861,0.90841,0.02875,0.85536,0.00308,0.0039599999999999,-0.0008799999999998
29,CVE-2017-3221,2025-04-11,CVE-2017-7117,2025-05-12,1,1.3,0.02048,0.82379,0.0,0.054,0.89221,0.0,0.0684199999999999,1,0.02048,0.82836,0.054,0.89565,0.0045699999999999,0.0034399999999999,0.0011299999999999,0.02048,0.82861,0.05142,0.89293,0.0048199999999999,0.00072,0.0040999999999998
29,CVE-2017-3221,2025-04-11,CVE-2017-14227,2025-05-17,3,2.5500000000000007,0.02048,0.82379,0.0,0.00999,0.75093,0.0,0.07286,2,0.02048,0.82836,0.00999,0.75758,0.0045699999999999,0.00665,-0.00208,0.02048,0.82861,0.01715,0.81336,0.0048199999999999,0.0624299999999999,-0.05761
31,CVE-2017-5715,2025-03-13,CVE-2017-11882,2025-04-18,5,2.5,0.97469,0.99983,0.0,0.97419,0.99972,0.0,0.0001099999999999,1,0.90097,0.99592,0.94384,0.99965,-0.0039099999999999,-7.00000000000145e-05,-0.0038399999999999,0.90481,0.99596,0.94384,0.99964,-0.00387,-8.000000000008001e-05,-0.0037899999999999
31,CVE-2017-5715,2025-03-13,CVE-2017-5754,2025-04-16,1,0.0,0.97469,0.99983,0.0,0.97132,0.99894,0.0,0.0008899999999999,2,0.90097,0.99592,0.92707,0.99757,-0.0039099999999999,-0.00137,-0.0025399999999998,0.90481,0.99596,0.92671,0.99746,-0.00387,-0.00148,-0.00239
31,CVE-2017-5715,2025-03-13,CVE-2017-0144,2025-04-23,7,3.450000000000001,0.97469,0.99983,0.0,0.96953,0.99848,0.0,0.0013499999999999,3,0.90097,0.99592,0.94423,0.9998,-0.0039099999999999,0.0013199999999999,-0.0052299999999999,0.90481,0.99596,0.94412,0.99976,-0.00387,0.0012799999999999,-0.0051499999999999
32,CVE-2017-5753,2025-03-13,CVE-2017-11882,2025-04-18,5,2.5,0.97542,0.99999,0.0,0.97419,0.99972,0.0,0.0002699999999999,1,0.94167,0.99908,0.94384,0.99965,-0.00091,-7.00000000000145e-05,-0.00084,0.9417,0.9991,0.94384,0.99964,-0.00089,-8.000000000008001e-05,-0.0008099999999999
