feature_a,feature_b,correlation
days_since_latest_git_source,days_since_oldest_git_source,0.866
github_url_count,github_links_with_code_available_int,0.59
source_link_count,github_url_count,0.524
source_link_count,days_since_oldest_git_source,0.29
epss_score,post_word_count,0.257
github_url_count,description_word_count,0.242
days_since_latest_git_source,post_word_count,0.228
epss_score,days_since_oldest_git_source,0.224
occurrence_count,source_link_count,0.214
github_url_count,days_since_oldest_git_source,0.214
epss_score,occurrence_count,0.212
epss_score,source_link_count,0.212
source_link_count,sources_available_int,0.205
occurrence_count,days_since_oldest_git_source,-0.199
days_since_oldest_git_source,post_word_count,0.198
occurrence_count,github_url_count,0.197
github_links_with_code_available_int,description_word_count,0.196
epss_score,days_since_latest_git_source,0.195
sources_available_int,github_links_with_code_available_int,0.19
source_link_count,description_word_count,0.189
source_link_count,github_links_with_code_available_int,0.184
occurrence_count,days_since_latest_git_source,-0.183
occurrence_count,github_links_with_code_available_int,0.17
github_url_count,sources_available_int,0.155
epss_score,cvss_score,0.149
sources_available_int,post_word_count,0.126
source_link_count,days_since_latest_git_source,0.12
occurrence_count,description_word_count,0.114
occurrence_count,sources_available_int,0.103
cvss_score,source_link_count,-0.102
