feature_a,feature_b,correlation
days_since_latest_git_source,days_since_oldest_git_source,0.817
github_url_count,github_links_with_code_available_int,0.778
source_link_count,sources_available_int,0.66
occurrence_count,post_word_count,0.528
epss_score,occurrence_count,0.459
epss_score,post_word_count,0.398
occurrence_count,source_link_count,0.368
source_link_count,github_url_count,0.352
source_link_count,post_word_count,0.313
source_link_count,github_links_with_code_available_int,0.303
epss_score,source_link_count,0.3
source_link_count,description_word_count,0.269
github_url_count,sources_available_int,0.251
epss_score,days_since_oldest_git_source,0.245
cvss_score,post_word_count,-0.239
epss_score,days_since_latest_git_source,0.222
days_since_latest_git_source,post_word_count,0.212
github_url_count,description_word_count,0.209
days_since_latest_git_source,description_word_count,-0.208
github_links_with_code_available_int,description_word_count,0.193
sources_available_int,github_links_with_code_available_int,0.19
days_since_oldest_git_source,post_word_count,0.183
occurrence_count,days_since_oldest_git_source,-0.154
github_url_count,days_since_oldest_git_source,0.152
occurrence_count,days_since_latest_git_source,-0.148
github_links_with_code_available_int,days_since_oldest_git_source,0.119
sources_available_int,post_word_count,0.118
epss_score,cvss_score,0.114
occurrence_count,sources_available_int,0.114
days_since_oldest_git_source,description_word_count,-0.113
epss_score,sources_available_int,0.112
cvss_score,source_link_count,-0.11
