family,llm,variant,dataset_name,num_graphs,mean_nodes,median_nodes,min_nodes,max_nodes,std_nodes,mean_edges,median_edges,min_edges,max_edges,std_edges,node_DOCUMENT_mean,node_PARAGRAPH_mean,node_SENTENCE_mean,node_TOKEN_mean,node_ENTITY_mean,node_PREDICATE_mean,node_ARGUMENT_mean,node_CONCEPT_mean,node_NOUN_PHRASE_mean,node_VERB_PHRASE_mean,node_CLAUSE_mean,node_MENTION_mean,node_TOPIC_mean,edge_DEP_mean,edge_NEXT_TOKEN_mean,edge_NEXT_SENT_mean,edge_NEXT_PARA_mean,edge_COREF_mean,edge_SRL_ARG_mean,edge_AMR_EDGE_mean,edge_RST_RELATION_mean,edge_DISCOURSE_mean,edge_CONTAINS_mean,edge_BELONGS_TO_mean,edge_ENTITY_REL_mean,edge_SIMILARITY_mean
social,gpt,D,epss_gpt_v2_D,9218,111.86,90.0,13.0,1308.0,88.01,378.55,289.0,26.0,7107.0,373.03,1.0,1.0,2.61,57.67,10.25,5.46,10.03,0.0,12.57,2.89,2.07,1.3,5.0,55.06,56.67,1.61,0.0,3.7,20.06,0.0,0.11,8.65,99.53,85.85,47.32,0.0
social,gpt,S_all,epss_gpt_v2_S_all,7605,242.39,224.0,5.0,1314.0,108.41,886.49,822.0,5.0,11951.0,418.16,1.0,1.3,3.72,129.75,19.91,13.48,23.69,0.0,28.94,5.24,7.52,2.84,5.0,126.03,128.75,2.72,0.3,6.21,47.38,0.0,0.56,10.85,214.86,248.29,100.53,0.0
social,gpt,S_git,epss_gpt_v2_S_git,2246,472.6,456.0,100.0,2716.0,142.61,1539.92,1469.0,290.0,8958.0,472.2,1.0,1.0,9.4,263.21,22.64,30.32,54.07,0.0,57.07,10.82,12.28,5.8,5.0,253.81,262.21,8.4,0.0,10.76,108.14,0.0,1.21,25.49,411.73,404.8,53.37,0.0
social,gpt,S_cvss,epss_gpt_v2_S_cvss,9218,195.52,184.0,28.0,591.0,79.44,649.67,616.0,70.0,2083.0,270.1,1.0,1.13,3.67,104.8,15.24,9.84,18.16,0.0,23.94,4.51,5.78,2.45,5.0,101.13,103.8,2.67,0.13,4.51,36.32,0.0,0.92,9.51,173.91,166.93,49.85,0.0
social,gpt,ALL,epss_gpt_v2_ALL,9218,609.92,529.0,70.0,3091.0,309.55,2159.1,1897.0,210.0,13198.0,1112.32,1.0,3.44,11.64,333.65,46.82,33.81,60.9,0.0,74.3,14.36,17.05,7.94,5.0,322.01,332.65,10.64,2.44,18.5,121.81,0.0,2.08,25.57,540.08,556.69,226.62,0.0
social,gemma,D,epss_gemma_v2_D,9218,111.86,90.0,13.0,1308.0,88.01,378.55,289.0,26.0,7107.0,373.03,1.0,1.0,2.61,57.67,10.25,5.46,10.03,0.0,12.57,2.89,2.07,1.3,5.0,55.06,56.67,1.61,0.0,3.7,20.06,0.0,0.11,8.65,99.53,85.85,47.32,0.0
social,gemma,S_all,epss_gemma_v2_S_all,7636,191.44,170.0,69.0,864.0,74.98,588.34,523.0,195.0,2608.0,233.61,1.0,1.48,6.47,104.21,16.26,9.97,15.66,0.0,22.93,3.16,3.47,1.82,5.0,97.74,103.21,5.47,0.48,5.16,31.33,0.0,0.36,17.51,172.96,123.44,30.67,0.0
social,gemma,S_git,epss_gemma_v2_S_git,2381,191.15,175.0,83.0,1075.0,71.35,587.37,537.0,248.0,3385.0,222.11,1.0,1.49,6.09,103.92,13.95,11.12,17.31,0.0,22.11,3.61,3.9,1.65,5.0,97.83,102.92,5.09,0.49,4.2,34.62,0.0,0.54,16.42,171.19,130.3,23.77,0.0
social,gemma,S_cvss,epss_gemma_v2_S_cvss,9218,148.11,146.0,90.0,282.0,26.96,439.39,434.0,251.0,865.0,89.36,1.0,1.0,5.35,78.89,14.37,6.8,10.8,0.0,18.93,1.83,3.31,0.83,5.0,73.54,77.89,4.35,0.0,2.82,21.6,0.0,0.31,13.13,135.49,86.92,23.34,0.0
social,gemma,ALL,epss_gemma_v2_ALL,9218,454.79,415.0,118.0,2121.0,192.78,1471.69,1335.0,344.0,12534.0,690.18,1.0,3.61,14.9,249.73,40.69,23.4,38.27,0.0,56.21,8.26,9.26,4.44,5.0,234.83,248.73,13.9,2.61,14.03,76.55,0.0,0.9,32.03,411.07,309.05,127.97,0.0
social,mistral,D,epss_mistral_v2_D,9218,111.86,90.0,13.0,1308.0,88.01,378.55,289.0,26.0,7107.0,373.03,1.0,1.0,2.61,57.67,10.25,5.46,10.03,0.0,12.57,2.89,2.07,1.3,5.0,55.06,56.67,1.61,0.0,3.7,20.06,0.0,0.11,8.65,99.53,85.85,47.32,0.0
social,mistral,S_all,epss_mistral_v2_S_all,7317,292.4,272.0,47.0,1322.0,112.86,931.64,863.0,122.0,17565.0,460.62,1.0,3.37,8.94,168.33,25.04,12.09,19.56,0.0,35.42,5.74,4.51,3.4,5.0,159.39,167.33,7.94,2.37,9.28,39.12,0.0,0.69,24.76,268.44,181.76,70.56,0.0
social,mistral,S_git,epss_mistral_v2_S_git,2388,272.29,248.0,47.0,1740.0,122.01,859.08,774.0,133.0,15656.0,501.14,1.0,2.68,7.83,152.04,21.21,13.18,21.74,0.0,33.01,6.21,5.02,3.36,5.0,144.21,151.04,6.83,1.68,7.9,43.49,0.0,0.71,21.77,246.19,180.49,54.77,0.0
social,mistral,S_cvss,epss_mistral_v2_S_cvss,9016,274.64,271.0,70.0,631.0,74.64,849.43,834.0,193.0,2270.0,249.1,1.0,4.08,8.32,160.34,18.46,11.41,18.43,0.0,34.28,5.0,5.83,2.48,5.0,152.02,159.34,7.32,3.08,5.2,36.86,0.0,0.43,21.01,252.73,175.6,35.84,0.0
